"","Sample","location","Species","lon","lat"
"1","7186a","Kalumburu Western Australia","B. tryoni",126.6426345,-14.2950295
"2","7186b","Kalumburu Western Australia","B. tryoni",126.6426345,-14.2950295
"3","7186c","Kalumburu Western Australia","B. tryoni",126.6426345,-14.2950295
"4","7186d","Kalumburu Western Australia","B. tryoni",126.6426345,-14.2950295
"5","7186e","Kalumburu Western Australia","B. tryoni",126.6426345,-14.2950295
"6","3012e","Coen Queensland","B. tryoni",143.199715,-13.9446365
"7","3012f","Coen Queensland","B. tryoni",143.199715,-13.9446365
"8","3012g","Coen Queensland","B. tryoni",143.199715,-13.9446365
"9","3012h","Coen Queensland","B. tryoni",143.199715,-13.9446365
"10","3012i","Coen Queensland","B. tryoni",143.199715,-13.9446365
"11","3005a","Mackay Queensland","B. tryoni",149.1865149,-21.141956
"12","3005b","Mackay Queensland","B. tryoni",149.1865149,-21.141956
"13","3005c","Mackay Queensland","B. tryoni",149.1865149,-21.141956
"14","3005d","Mackay Queensland","B. tryoni",149.1865149,-21.141956
"15","3005e","Mackay Queensland","B. tryoni",149.1865149,-21.141956
"16","2993a","Brisbane Queensland","B. tryoni",153.0234991,-27.4689682
"17","2993b","Brisbane Queensland","B. tryoni",153.0234991,-27.4689682
"18","2993c","Brisbane Queensland","B. tryoni",153.0234991,-27.4689682
"19","2993d","Brisbane Queensland","B. tryoni",153.0234991,-27.4689682
"20","2993e","Brisbane Queensland","B. tryoni",153.0234991,-27.4689682
"21","530k","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"22","530l","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"23","530m","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"24","530n","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"25","530o","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"26","6936a","Ellerslie Victoria","B. tryoni",142.6831677,-38.1513311
"27","6936b","Ellerslie Victoria","B. tryoni",142.6831677,-38.1513311
"28","6936c","Ellerslie Victoria","B. tryoni",142.6831677,-38.1513311
"29","6936d","Ellerslie Victoria","B. tryoni",142.6831677,-38.1513311
"30","6936e","Ellerslie Victoria","B. tryoni",142.6831677,-38.1513311
"31","1153f","Cootamundra New South Wales","B. tryoni",148.025723,-34.6394513
"32","1153g","Cootamundra New South Wales","B. tryoni",148.025723,-34.6394513
"33","1153h","Cootamundra New South Wales","B. tryoni",148.025723,-34.6394513
"34","1153i","Cootamundra New South Wales","B. tryoni",148.025723,-34.6394513
"35","1153j","Cootamundra New South Wales","B. tryoni",148.025723,-34.6394513
"36","6998a","Barham New South Wales","B. tryoni",144.1280514,-35.6268005
"37","6998b","Barham New South Wales","B. tryoni",144.1280514,-35.6268005
"38","6998c","Barham New South Wales","B. tryoni",144.1280514,-35.6268005
"39","6998d","Barham New South Wales","B. tryoni",144.1280514,-35.6268005
"40","6998e","Barham New South Wales","B. tryoni",144.1280514,-35.6268005
"41","6986a","Boundary Bend Victoria","B. tryoni",143.174272262464,-34.809845
"42","6986b","Boundary Bend Victoria","B. tryoni",143.174272262464,-34.809845
"43","6986c","Boundary Bend Victoria","B. tryoni",143.174272262464,-34.809845
"44","6986d","Boundary Bend Victoria","B. tryoni",143.174272262464,-34.809845
"45","6986e","Boundary Bend Victoria","B. tryoni",143.174272262464,-34.809845
"46","554e","Marlo Victoria","B. tryoni",148.704029530436,-37.68004
"47","554f","Marlo Victoria","B. tryoni",148.704029530436,-37.68004
"48","554g","Marlo Victoria","B. tryoni",148.704029530436,-37.68004
"49","554h","Marlo Victoria","B. tryoni",148.704029530436,-37.68004
"50","554i","Marlo Victoria","B. tryoni",148.704029530436,-37.68004
"51","530p","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"52","530q","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"53","530r","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"54","530s","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"55","530t","Sydney New South Wales","B. tryoni",151.2164539,-33.8548157
"56","560f","Orbost Victoria","B. tryoni",148.46487703405,-37.655875
"57","560g","Orbost Victoria","B. tryoni",148.46487703405,-37.655875
"58","560h","Orbost Victoria","B. tryoni",148.46487703405,-37.655875
"59","560i","Orbost Victoria","B. tryoni",148.46487703405,-37.655875
"60","560j","Orbost Victoria","B. tryoni",148.46487703405,-37.655875
"61","1162c","Dubbo New South Wales","B. tryoni",148.6026502,-32.2478964
"62","1162d","Dubbo New South Wales","B. tryoni",148.6026502,-32.2478964
"63","1162e","Dubbo New South Wales","B. tryoni",148.6026502,-32.2478964
"64","1162f","Dubbo New South Wales","B. tryoni",148.6026502,-32.2478964
"65","1162g","Dubbo New South Wales","B. tryoni",148.6026502,-32.2478964
"66","2545b","Hillston New South Wales","B. tryoni",145.5344992,-33.4815225
"67","7906a","Dili","B. albistrigata",77.2219388,28.6517178
"68","7907a","Christmas Island","B. albistrigata",105.617351489796,-10.49124145
"69","2545e","Hillston New South Wales","B. tryoni",145.5344992,-33.4815225
