Sample Name,Locality,Lat,Long,Species,State,Year,VAITC Batch #,Sample #
7186a,Kalumburu,-14.29389,126.63958,B. tryoni,WA,2017,7186,a
7186b,Kalumburu,-14.29389,126.63958,B. tryoni,WA,2017,7186,b
7186c,Kalumburu,-14.29389,126.63958,B. tryoni,WA,2017,7186,c
7186d,Kalumburu,-14.29389,126.63958,B. tryoni,WA,2017,7186,d
7186e,Kalumburu,-14.29389,126.63958,B. tryoni,WA,2017,7186,e
7187a,Cobourg_Peninsula,-11.36696,132.2962,B. tryoni,NT,2017,7187,a
7187b,Cobourg_Peninsula,-11.36696,132.2962,B. tryoni,NT,2017,7187,b
7187c,Cobourg_Peninsula,-11.36696,132.2962,B. tryoni,NT,2017,7187,c
7187d,Cobourg_Peninsula,-11.36696,132.2962,B. tryoni,NT,2017,7187,d
7187e,Cobourg_Peninsula,-11.36696,132.2962,B. tryoni,NT,2017,7187,e
3012e,Coen,-13.945318,143.199538,B. tryoni,QLD,2011,3012,e
3012f,Coen,-13.945318,143.199538,B. tryoni,QLD,2011,3012,f
3012g,Coen,-13.945318,143.199538,B. tryoni,QLD,2011,3012,g
3012h,Coen,-13.945318,143.199538,B. tryoni,QLD,2011,3012,h
3012i,Coen,-13.945318,143.199538,B. tryoni,QLD,2011,3012,i
3005a,Mackay,-21.08352,149.11034,B. tryoni,QLD,2011,3005,a
3005b,Mackay,-21.08352,149.11034,B. tryoni,QLD,2011,3005,b
3005c,Mackay,-21.08352,149.11034,B. tryoni,QLD,2011,3005,c
3005d,Mackay,-21.08352,149.11034,B. tryoni,QLD,2011,3005,d
3005e,Mackay,-21.08352,149.11034,B. tryoni,QLD,2011,3005,e
2993a,Brisbane,-27.28172,153.01294,B. tryoni,QLD,2011,2993,a
2993b,Brisbane,-27.28172,153.01294,B. tryoni,QLD,2011,2993,b
2993c,Brisbane,-27.28172,153.01294,B. tryoni,QLD,2011,2993,c
2993d,Brisbane,-27.28172,153.01294,B. tryoni,QLD,2011,2993,d
2993e,Brisbane,-27.28172,153.01294,B. tryoni,QLD,2011,2993,e
530k,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,k
530l,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,l
530m,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,m
530n,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,n
530o,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,o
6936a,Ellerslie,-38.110209,142.70648,B. tryoni,NSW,2017,6936,a
6936b,Ellerslie,-38.110209,142.70648,B. tryoni,NSW,2017,6936,b
6936c,Ellerslie,-38.110209,142.70648,B. tryoni,NSW,2017,6936,c
6936d,Ellerslie,-38.110209,142.70648,B. tryoni,NSW,2017,6936,d
6936e,Ellerslie,-38.110209,142.70648,B. tryoni,NSW,2017,6936,e
1153f,Cootamundra,-34.38417,148.01259,B. tryoni,NSW,,1153,f
1153g,Cootamundra,-34.38417,148.01259,B. tryoni,NSW,,1153,g
1153h,Cootamundra,-34.38417,148.01259,B. tryoni,NSW,,1153,h
1153i,Cootamundra,-34.38417,148.01259,B. tryoni,NSW,,1153,i
1153j,Cootamundra,-34.38417,148.01259,B. tryoni,NSW,,1153,j
6998a,Barham,-35.629442,144.125094,B. tryoni,NSW,2017,6998,a
6998b,Barham,-35.629442,144.125094,B. tryoni,NSW,2017,6998,b
6998c,Barham,-35.629442,144.125094,B. tryoni,NSW,2017,6998,c
6998d,Barham,-35.629442,144.125094,B. tryoni,NSW,2017,6998,d
6998e,Barham,-35.629442,144.125094,B. tryoni,NSW,2017,6998,e
6986a,Boundary_bend,-34.715335,143.144628,B. tryoni,VIC,2017,6986,a
6986b,Boundary_bend,-34.715335,143.144628,B. tryoni,VIC,2017,6986,b
6986c,Boundary_bend,-34.715335,143.144628,B. tryoni,VIC,2017,6986,c
6986d,Boundary_bend,-34.715335,143.144628,B. tryoni,VIC,2017,6986,d
6986e,Boundary_bend,-34.715335,143.144628,B. tryoni,VIC,2017,6986,e
554e,Marlo,-37.794696,148.534178,B. tryoni,VIC,,554,e
554f,Marlo,-37.794696,148.534178,B. tryoni,VIC,,554,f
554g,Marlo,-37.794696,148.534178,B. tryoni,VIC,,554,g
554h,Marlo,-37.794696,148.534178,B. tryoni,VIC,,554,h
554i,Marlo,-37.794696,148.534178,B. tryoni,VIC,,554,i
530p,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,p
530q,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,q
530r,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,r
530s,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,s
530t,Sydney,-33.51466,151.09553,B. tryoni,NSW,2010,530,t
560f,Orbost,-37.42226,148.27509,B. tryoni,VIC,2010,560,f
560g,Orbost,-37.42226,148.27509,B. tryoni,VIC,2010,560,g
560h,Orbost,-37.42226,148.27509,B. tryoni,VIC,2010,560,h
560i,Orbost,-37.42226,148.27509,B. tryoni,VIC,2010,560,i
560j,Orbost,-37.42226,148.27509,B. tryoni,VIC,2010,560,j
1162c,Dubbo,-32.2357,148.63077,B. tryoni,NSW,2010,1162,c
1162d,Dubbo,-32.2357,148.63077,B. tryoni,NSW,2010,1162,d
1162e,Dubbo,-32.2357,148.63077,B. tryoni,NSW,2010,1162,e
1162f,Dubbo,-32.2357,148.63077,B. tryoni,NSW,2010,1162,f
1162g,Dubbo,-32.2357,148.63077,B. tryoni,NSW,2010,1162,g
2545b,Hillston,-33.484617,145.533849,B. tryoni,NSW,2010,2545,b
7906a,Dili,,,B. albistrigata,Timor Leste,2016,7906,a
2545d,Hillston,-33.484617,145.533849,B. tryoni,NSW,2010,2545,d
2545e,Hillston,-33.484617,145.533849,B. tryoni,NSW,2010,2545,e
2545f,Hillston,-33.484617,145.533849,B. tryoni,NSW,2010,2545,f
2995a,Brisbane_South_East,-27.32313,153.15397,B. tryoni,QLD,2011,2995,a
2995b,Brisbane_South_East,-27.32313,153.15397,B. tryoni,QLD,2011,2995,b
2995c,Brisbane_South_East,-27.32313,153.15397,B. tryoni,QLD,2011,2995,c
2995d,Brisbane_South_East,-27.32313,153.15397,B. tryoni,QLD,2011,2995,d
2995e,Brisbane_South_East,-27.32313,153.15397,B. tryoni,QLD,2011,2995,e
3001a,Bundaberg,-24.51572,152.21032,B. tryoni,QLD,2011,3001,a
3001b,Bundaberg,-24.51572,152.21032,B. tryoni,QLD,2011,3001,b
3001c,Bundaberg,-24.51572,152.21032,B. tryoni,QLD,2011,3001,c
3001d,Bundaberg,-24.51572,152.21032,B. tryoni,QLD,2011,3001,d
3001e,Bundaberg,-24.51572,152.21032,B. tryoni,QLD,2011,3001,e
3003a,Gladstone,-23.50442,151.15277,B. tryoni,QLD,2011,3003,a
3003b,Gladstone,-23.50442,151.15277,B. tryoni,QLD,2011,3003,b
3003c,Gladstone,-23.50442,151.15277,B. tryoni,QLD,2011,3003,c
3003d,Gladstone,-23.50442,151.15277,B. tryoni,QLD,2011,3003,d
3003e,Gladstone,-23.50442,151.15277,B. tryoni,QLD,2011,3003,e
3007a,Townsville,-19.15325,146.49007,B. tryoni,QLD,2011,3007,a
3007b,Townsville,-19.15325,146.49007,B. tryoni,QLD,2011,3007,b
3007c,Townsville,-19.15325,146.49007,B. tryoni,QLD,2011,3007,c
3007d,Townsville,-19.15325,146.49007,B. tryoni,QLD,2011,3007,d
3007e,Townsville,-19.15325,146.49007,B. tryoni,QLD,2011,3007,e
3010a,Cairns,-16.55242,145.46058,B. tryoni,QLD,2011,3010,a
3010b,Cairns,-16.55242,145.46058,B. tryoni,QLD,2011,3010,b
3010c,Cairns,-16.55242,145.46058,B. tryoni,QLD,2011,3010,c
3010d,Cairns,-16.55242,145.46058,B. tryoni,QLD,2011,3010,d
3010e,Cairns,-16.55242,145.46058,B. tryoni,QLD,2011,3010,e
3013a,Coen,-13.54346,143.11076,B. tryoni,QLD,2011,3013,a
3013b,Coen,-13.54346,143.11076,B. tryoni,QLD,2011,3013,b
3013c,Coen,-13.54346,143.11076,B. tryoni,QLD,2011,3013,c
3013d,Coen,-13.54346,143.11076,B. tryoni,QLD,2011,3013,d
3013e,Coen,-13.54346,143.11076,B. tryoni,QLD,2011,3013,e
7187f,Cobourg_Peninsula,-11.26349,132.13255,B. tryoni,NT,2017,7187,f
7187g,Cobourg_Peninsula,-11.26349,132.13255,B. tryoni,NT,2017,7187,g
7187h,Cobourg_Peninsula,-11.26349,132.13255,B. tryoni,NT,2017,7187,h
7187i,Cobourg_Peninsula,-11.26349,132.13255,B. tryoni,NT,2017,7187,i
7187j,Cobourg_Peninsula,-11.26349,132.13255,B. tryoni,NT,2017,7187,j
7908a,Selangor,,,B. albistrigata,Malaysia,2016,7908,a
7352b,Kalumburu,-14.17456,126.38366,B. tryoni,WA,2017,7352,b
7352c,Kalumburu,-14.17456,126.38366,B. tryoni,WA,2017,7352,c
7352d,Kalumburu,-14.17456,126.38366,B. tryoni,WA,2017,7352,d
7352e,Kalumburu,-14.17456,126.38366,B. tryoni,WA,2017,7352,e
7188c,Weipa,-12.38595,141.51045,B. neohumeralis,QLD,2017,7188,c
7188d,Weipa,-12.38595,141.51045,B. neohumeralis,QLD,2017,7188,d
7188e,Weipa,-12.38595,141.51045,B. neohumeralis,QLD,2017,7188,e
